gamme acceleration : +-param[0]g ;    frequence echantillonnage : param[1]Hz
t(s);Ax(m/s2);Ay(m/s2);Az(m/s2);F(Hz);TF(Ax);TF(Ay);TF(Az)
0,08;0,91845703125;0,39990234375;-0,74658203125;8,18414322251;0,079442886988;0,0396527210633;0,0229633825811
0,085;0,962890625;0,435546875;-0,75439453125;8,69565217391;0,0419844606442;0,028525102949;0,00101323689992
0,09;0,9921875;0,4365234375;-0,75634765625;9,20716112532;0,0819881337082;0,0626445326319;0,00603011263249
0,095;0,97705078125;0,42529296875;-0,71044921875;9,71867007673;0,0647612684733;0,0231265498964;0,0175536960364
0,1;0,75927734375;0,41796875;-0,62109375;10,2301790281;0,0241069103076;0,0441398554823;0,0187080890777
0,105;0,56591796875;0,3671875;-0,5869140625;10,7416879795;0,035300937043;0,031800927195;0,0183437847309
0,11;0,35986328125;0,32763671875;-0,578125;11,2531969309;0,0478894784674;0,0443415926175;0,0118986403048
0,115;0,18896484375;0,26171875;-0,595703125;11,7647058824;0,0281950818258;0,0396638865995;0,00467759148047
0,12;0,05029296875;0,18115234375;-0,62158203125;12,2762148338;0,0163231349164;0,0208239936563;0,0106888747475
0,125;-0,03125;0,0791015625;-0,65234375;12,7877237852;0,0459314376102;0,0415616557961;0,0171952823991
0,13;-0,13623046875;-0,04296875;-0,67578125;13,2992327366;0,0623210835864;0,0252230683025;0,0413465694846
0,135;-0,2978515625;-0,14892578125;-0,67041015625;13,810741688;0,110934821566;0,125651928848;0,0568283622941
0,14;-0,5244140625;-0,296875;-0,6181640625;14,3222506394;0,0687799505996;0,0838288922076;0,0122915141111
0,145;-0,76708984375;-0,4775390625;-0,63671875;14,8337595908;0,00942783730821;0,0371648949632;0,0162729453412
0,15;-0,9970703125;-0,658203125;-0,68798828125;15,3452685422;0,022014784664;0,04314741729;0,0223240903406
0,155;-1,0;-0,748046875;-0,72607421875;15,8567774936;0,0244309510621;0,0298730891478;0,00953827875303
0,16;-1,0;-0,80908203125;-0,77783203125;16,368286445;0,0109448177333;0,0349808864477;0,0108436814441
0,165;-1,0;-0,84423828125;-0,86328125;16,8797953964;0,0311966556799;0,0210498676462;0,00361822414312
0,17;-1,0;-0,73095703125;-0,9853515625;17,3913043478;0,00688891027411;0,0106679196305;0,00231809717567
0,175;-0,845703125;-0,72216796875;-1,0;17,9028132992;0,0129790041881;0,0296205362198;0,00757623054742
0,18;-0,69580078125;-0,55810546875;-0,82470703125;18,4143222506;0,0225120067057;0,0240890421188;0,00402942265648
0,185;-0,5400390625;-0,03125;-0,54296875;18,925831202;0,0132388183044;0,0211736579548;0,0146418858985
0,19;-0,318359375;0,3935546875;-0,4765625;19,4373401535;0,00615348300226;0,0151177489415;0,011293741053
0,195;-0,04296875;0,53466796875;-0,49658203125;19,9488491049;0,0304104116453;0,0629983146931;0,0323295425715
0,2;0,453125;0,54052734375;-0,59326171875;20,4603580563;0,0510439640113;0,0782425477816;0,0465655178854
0,205;0,65673828125;0,5380859375;-0,60546875;20,9718670077;0,0142370613944;0,0391661792891;0,0340533456519
0,21;0,849609375;0,40576171875;-0,7109375;21,4833759591;0,0236020459838;0,0285316774869;0,0272566481161
0,215;0,935546875;0,376953125;-0,75732421875;21,9948849105;0,00183103146474;0,00191752079218;0,00418310813186
0,22;0,96826171875;0,47998046875;-0,71923828125;22,5063938619;0,0150264148305;0,00343134642971;0,00934037590364
0,225;0,96044921875;0,50732421875;-0,6884765625;23,0179028133;0,00917449533844;0,0105186418078;0,00714833217171
0,23;0,9443359375;0,48583984375;-0,673828125;23,5294117647;0,00314280801339;0,00987054705636;0,0103758615892
0,235;0,90673828125;0,48095703125;-0,6240234375;24,0409207161;0,00222049418573;0,0176122148743;0,0106390238971
0,24;0,79345703125;0,42529296875;-0,58642578125;24,5524296675;0,00486347708141;0,00794206572464;0,00715284782056
0,245;0,61376953125;0,412109375;-0,5390625;25,0639386189;0,0024420451626;0,000664299419874;0,00319359936304
0,25;0,4248046875;0,35302734375;-0,51953125;25,5754475703;0,0135833966832;0,0121562318013;0,00869495727205
0,255;0,23388671875;0,30224609375;-0,5478515625;26,0869565217;0,00960489211346;0,00474027855612;0,00505535748112
0,26;0,07080078125;0,21875;-0,58447265625;26,5984654731;0,0153346043366;0,0184603179089;0,00956558145078
0,265;-0,04541015625;0,12060546875;-0,62158203125;27,1099744246;0,0051124590622;0,00944633610847;0,0168520371238
0,27;-0,12158203125;0,01611328125;-0,6572265625;27,621483376;0,00923946714428;0,0134142041559;0,0171728427247
0,275;-0,21142578125;-0,095703125;-0,6923828125;28,1329923274;0,0208907432049;0,0139749866806;0,00953614464394
0,28;-0,33154296875;-0,173828125;-0,67041015625;28,6445012788;0,00141742846912;0,00296107121198;0,000867809259319
0,285;-0,49609375;-0,267578125;-0,619140625;29,1560102302;0,006394958257;0,00498779341687;0,00333624440707
0,29;-0,69580078125;-0,42626953125;-0,6171875;29,6675191816;0,0121882036772;0,0122628212309;0,00932313986156
0,295;-0,90966796875;-0,599609375;-0,64453125;30,179028133;0,00799657728497;0,00200560841038;0,0029561956967
0,3;-1,0;-0,8095703125;-0,720703125;30,6905370844;0,003712428793;0,0153473152997;0,00707745453466
0,305;-1,0;-0,80810546875;-0,75244140625;31,2020460358;0,00405616404423;0,00596586712154;0,00332540267992
0,31;-1,0;-0,7265625;-0,79541015625;31,7135549872;0,0041394099458;0,00765098867309;0,00889850419338
0,315;-0,99853515625;-0,62841796875;-0,93017578125;32,2250639386;0,00908451243678;0,0045501731418;0,00168911387198
0,32;-0,77978515625;-0,49658203125;-0,8515625;32,73657289;0,00702177019938;0,00656675944543;0,00484454740515
0,325;-0,5693359375;-0,166015625;-0,62548828125;33,2480818414;0,0162112616457;0,00678508491348;0,00595115388243
