gamme acceleration : +-2g ;    frequence echantillonnage : 200Hz
t(s);Ax(m/s2);Ay(m/s2);Az(m/s2);F(Hz);TF(Ax);TF(Ay);TF(Az)
0,11;-0,72265625;-0,46875;0,515625;11,0831234257;0,0380274314794;0,126760141561;0,144582733485
0,115;-0,7265625;-0,44140625;0,484375;11,5869017632;0,0423216865587;0,0321284545561;0,0693663530404
0,12;-0,7353515625;-0,4228515625;0,4521484375;12,0906801008;0,0601179587026;0,0978563344914;0,0704909431025
0,125;-0,759765625;-0,3916015625;0,44140625;12,5944584383;0,0587430030637;0,0829362180397;0,0944465061382
0,13;-0,78515625;-0,3896484375;0,4716796875;13,0982367758;0,150623472957;0,154585373682;0,0685219074361
0,135;-0,8759765625;-0,3759765625;0,5380859375;13,6020151134;0,04513469149;0,265826733805;0,100920963991
0,14;-1,029296875;-0,3671875;0,580078125;14,1057934509;0,102232353451;0,528778349371;0,182662225905
0,145;-1,1689453125;-0,3447265625;0,62109375;14,6095717884;0,390671179244;0,583050688796;0,215617146976
0,15;-1,1416015625;-0,296875;0,578125;15,1133501259;0,220120099615;0,0766276494186;0,0968743696467
0,155;-1,0322265625;-0,2978515625;0,5234375;15,6171284635;0,163140533325;0,188167701626;0,143581940846
0,16;-1,0244140625;-0,3642578125;0,5185546875;16,120906801;0,0427612799494;0,144827358645;0,0574555463746
0,165;-1,0654296875;-0,5234375;0,57421875;16,6246851385;0,0276270946365;0,0877614272937;0,00537695662923
0,17;-1,0771484375;-0,5908203125;0,60546875;17,1284634761;0,0241833431286;0,0236703896151;0,0725264574231
0,175;-1,0322265625;-0,578125;0,6025390625;17,6322418136;0,10483557745;0,0588025085494;0,0516418549673
0,18;-1,0009765625;-0,515625;0,583984375;18,1360201511;0,0977704282654;0,126499983151;0,0171555685831
0,185;-0,9814453125;-0,4345703125;0,5703125;18,6397984887;0,0794266648248;0,0634367512755;0,0102951874454
0,19;-1,0068359375;-0,3662109375;0,5712890625;19,1435768262;0,0403659030017;0,0367587681338;0,0290484678787
0,195;-1,0244140625;-0,34765625;0,60546875;19,6473551637;0,0871055754862;0,0889103870118;0,0529426740018
0,2;-1,00390625;-0,3046875;0,6416015625;20,1511335013;0,0911178025324;0,0606417145567;0,0405602662568
0,205;-0,9453125;-0,2783203125;0,6083984375;20,6549118388;0,13802775764;0,129563120191;0,0622503742608
0,21;-0,9296875;-0,30078125;0,546875;21,1586901763;0,148909817935;0,262555556421;0,134150628524
0,215;-0,8916015625;-0,3486328125;0,4755859375;21,6624685139;0,131594846683;0,283293057441;0,226678441512
