gamme acceleration : +-2g ;    frequence echantillonnage : 200Hz
t(s);Ax(g);Ay(g);Az(g);F(Hz);TF(Ax);TF(Ay);TF(Az)
1,16;0,003;0,002;0,011;;;;
1,164;0,0;0,006;0,003;;;;
1,17;0,0;-0,005;0,001;;;;
1,174;0,005;0,0;0,0;;;;
1,179;0,002;-0,002;0,0;;;;
1,184;0,002;-0,004;0,0;;;;
1,189;0,002;-0,002;-0,007;;;;
1,194;0,002;0,002;0,007;;;;
1,199;-0,002;-0,001;0,0;;;;
1,204;0,001;0,002;0,0;;;;
1,209;0,008;-0,013;0,0;;;;
1,214;0,01;-0,006;0,0;;;;
1,219;0,005;0,0;-0,006;;;;
1,224;0,01;-0,006;0,0;;;;
1,229;0,006;0,0;-0,014;;;;
1,234;0,002;-0,006;-0,008;;;;
1,239;0,003;-0,006;0,0;;;;
1,244;0,015;0,0;0,008;;;;
1,249;0,009;-0,004;0,007;;;;
1,255;0,006;-0,007;0,001;;;;
1,259;0,006;-0,006;0,001;;;;
1,265;0,004;0,002;0,0;;;;
1,269;-0,005;0,002;0,0;;;;
1,275;-0,002;-0,002;-0,001;;;;
